1;353.93;10.00;692.67;small
2;398.95;10.00;838.20;small
3;1376.00;10.00;1024.00;small
4;1376.00;10.00;1024.00;small
5;1376.00;10.00;1024.00;small
6;1376.00;10.00;1024.00;small
7;245.31;10.00;642.14;small
8;1376.00;10.00;1024.00;small
9;1376.00;10.00;1024.00;small
10;1376.00;10.00;1024.00;small
11;1376.00;10.00;1024.00;small
12;168.64;10.00;570.94;small
13;1376.00;10.00;1024.00;small
14;1376.00;10.00;1024.00;small
15;244.90;10.00;525.11;small
16;406.27;10.00;828.69;small
17;395.36;10.00;811.64;small
18;403.51;10.00;780.48;small
19;389.32;10.00;792.82;small
20;1376.00;10.00;1024.00;small
21;179.53;10.00;749.56;small
22;202.67;10.00;768.56;small
23;197.29;10.00;765.07;small
24;279.87;10.00;617.39;small
25;346.03;10.00;741.41;small
26;186.10;10.00;729.98;small
27;249.66;10.00;717.33;small
28;166.91;10.00;702.55;small
29;185.24;10.00;682.67;small
30;272.13;10.00;682.51;small
31;381.22;10.00;637.26;small
32;383.49;10.00;608.62;small
33;157.51;10.00;570.69;small
34;387.32;10.00;573.58;small
35;389.53;10.00;559.93;small
36;173.50;10.00;551.00;small
37;383.62;10.00;532.00;small
38;416.69;10.00;527.18;small
39;378.93;10.00;523.98;small
40;164.29;10.00;516.42;small
41;384.95;10.00;512.73;small
42;2231.51;10.00;679.71;small
43;2287.40;10.00;759.50;small
44;2264.22;10.00;711.58;small
45;2222.48;10.00;706.59;small
46;2223.22;10.00;687.41;small
47;2244.83;10.00;684.04;small
48;2232.52;10.00;673.73;small
49;2214.37;10.00;672.21;small
50;2198.72;10.00;655.62;small
51;2212.51;10.00;643.94;small
52;2201.05;10.00;634.03;small
53;1361.07;10.00;1057.55;small
54;1376.00;10.00;1024.00;small
55;1376.00;10.00;1024.00;small
56;1201.90;10.00;1110.56;small
57;1360.81;10.00;1081.71;small
58;1225.93;10.00;1095.53;small
59;1075.07;10.00;1028.12;small
60;1112.37;10.00;1031.08;small
61;1304.85;10.00;1327.77;small
62;1211.63;10.00;1269.90;small
63;1373.46;10.00;1246.87;small
64;1232.10;10.00;1246.30;small
65;1257.28;10.00;1238.25;small
66;1246.09;10.00;1221.14;small
67;1277.15;10.00;1223.36;small
68;1285.90;10.00;1220.95;small
69;1228.21;10.00;1202.61;small
70;1191.62;10.00;1199.88;small
71;1266.90;10.00;1103.59;small
72;1330.74;10.00;1197.26;small
73;1214.22;10.00;1194.64;small
74;1198.26;10.00;1186.77;small
75;1311.80;10.00;1167.27;small
76;1290.19;10.00;1159.00;small
77;1177.25;10.00;1157.79;small
78;1204.15;10.00;1158.60;small
79;1188.50;10.00;1157.81;small
80;1221.56;10.00;1148.44;small
81;1212.67;10.00;1138.63;small
82;1074.18;10.00;1100.64;small
83;1076.30;10.00;1052.36;small
84;1215.17;10.00;1046.23;small
85;1242.00;10.00;1049.00;small
86;1232.57;10.00;1040.48;small
87;1186.60;10.00;1038.98;small
88;1106.04;10.00;1032.24;small
89;1199.00;10.00;1033.28;small
90;1212.12;10.00;1031.16;small
91;1116.46;10.00;1025.11;small
92;1500.01;10.00;1518.06;small
93;1574.64;10.00;1527.10;small
94;1376.00;10.00;1024.00;small
95;1655.95;10.00;1431.74;small
96;1376.00;10.00;1024.00;small
97;1577.54;10.00;1418.74;small
98;1376.00;10.00;1024.00;small
99;1437.14;10.00;1256.48;small
100;1386.15;10.00;1223.27;small
101;1619.44;10.00;1096.64;small
102;1376.00;10.00;1024.00;small
103;1376.00;10.00;1024.00;small
104;1376.00;10.00;1024.00;small
105;1395.64;10.00;1045.38;small
106;1733.11;10.00;1071.94;small
107;1376.00;10.00;1024.00;small
108;1538.53;10.00;1288.64;small
